Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,17521746534000,18219297584000,18707188235000,19485393853000,20494100000000
United States,USA,Military expenditure (current USD),MS.MIL.XPND.CD,609914000000,596104639000,600106443000,605802927000,648798273000
United States,USA,"Population, total",SP.POP.TOTL,318386421,320742673,323071342,325147121,327167434
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,10438529153237.6,11015542352468.9,11137945669350.6,12143491448186.1,13608151864637.9
China,CHN,Military expenditure (current USD),MS.MIL.XPND.CD,200772203839.984,214093069946.25,216031280078.816,227829417915.783,249996900635.144
China,CHN,"Population, total",SP.POP.TOTL,1364270000,1371220000,1378665000,1386395000,1392730000
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,2059984158384.6,1363594369511.4,1282723881083.71,1578624060588.26,1657553765580.67
Russian Federation,RUS,Military expenditure (current USD),MS.MIL.XPND.CD,84696504653.4978,66418708183.9769,69245309460.9824,66527303992.4799,61387546980.4354
Russian Federation,RUS,"Population, total",SP.POP.TOTL,143819666,144096870,144342396,144496740,144478050
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,3898726503841.35,3381389338658.82,3495162856297.22,3693204332229.78,3996759291057.81
Germany,DEU,Military expenditure (current USD),MS.MIL.XPND.CD,46102673010.4001,39812576244.8708,41579494873.8205,45381722042.225,49470627810.6299
Germany,DEU,"Population, total",SP.POP.TOTL,80982500,81686611,82348669,82657002,82927922
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,3034729456047.18,2896420586534.4,2659238931670.25,2637866340434.13,2825207947502.9
United Kingdom,GBR,Military expenditure (current USD),MS.MIL.XPND.CD,59182858554.2566,53862185493.2918,48118943518.1008,46433303401.2281,49997192520.5639
United Kingdom,GBR,"Population, total",SP.POP.TOTL,64613160,65128861,65595565,66058859,66488991
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,2852165760630.27,2438207896251.84,2471285607081.72,2586285406561.51,2777535239277.98
France,FRA,Military expenditure (current USD),MS.MIL.XPND.CD,63613569143.462,55342131529.3335,57358414419.1346,60417498821.8926,63799676593.1329
France,FRA,"Population, total",SP.POP.TOTL,66316100,66593366,66859768,66865144,66987244
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2151732868243.21,1832273032580.67,1869201702185.17,1946570340341.13,2073901988878.23
Italy,ITA,Military expenditure (current USD),MS.MIL.XPND.CD,27701034334.9422,22180845070.4225,25033027894.6754,26447892915.4274,27807513898.2331
Italy,ITA,"Population, total",SP.POP.TOTL,60789140,60730582,60627498,60536709,60431283
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,756350347333.334,654269902880,644935541440,688586133333.333,782483466666.667
Saudi Arabia,SAU,Military expenditure (current USD),MS.MIL.XPND.CD,80762400000,87185866666.6667,63672800000,70400000000,67554666666.6667
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,30916994,31717667,32442572,33099147,33699947
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1411333926201.24,1382764027113.82,1414804158515.26,1530750923148.7,1619423701169.63
"Korea, Rep.",KOR,Military expenditure (current USD),MS.MIL.XPND.CD,37552328673.4539,36570769322.5744,36885283430.0234,39170682135.6216,43069973342.8752
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,50746659,51014947,51245707,51466201,51635256
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,310007879343.474,300470790394.923,319377923613.703,353268411918.577,369690436162.433
Israel,ISR,Military expenditure (current USD),MS.MIL.XPND.CD,18485829607.2707,16969432085.8565,14783814747.8017,15581608421.5048,15946788601.4412
Israel,ISR,"Population, total",SP.POP.TOTL,8215700,8380100,8546000,8713300,8883800
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 10/02/2019,,,,,,,,
